Title	Link	tag00	tag01	tag02	tag03	tag04	tag05	tag06	tag07	tag08	tag09	tag10	tag11	tag12	tag13	tag14
No Free Lunch Theorems for Optimization	https://ti.arc.nasa.gov/m/profile/dhw/papers/78.pdf	papers	machine-learning	information-theory												
Handbook of mathematical functions	http://people.math.sfu.ca/~cbm/aands/intro.htm	textbooks	mathematics													
Approximation by superpositions of a sigmoidal function	https://www.researchgate.net/profile/George_Cybenko/publication/226439292_Approximation_by_superpositions_of_a_sigmoidal_function_Math_Cont_Sig_Syst_MCSS_2303-314/links/551d50c90cf23e2801fe12cf/Approximation-by-superpositions-of-a-sigmoidal-function-Math-Cont-Sig-Syst-MCSS-2303-314.pdf	papers	machine-learning	neural-networks	universal-approximator											
Approximation Capabilities of Multilayer Feedforward Networks	https://web.njit.edu/~usman/courses/cs698_spring18/hornik-nn-1991.pdf	papers	machine-learning	neural-networks	universal-approximator											
Multilayer feedforward networks are universal approximators	https://www.cs.cmu.edu/~epxing/Class/10715/reading/Kornick_et_al.pdf	papers	neural-networks	universal-approximator												
Numerical Optimization	http://www.bioinfo.org.cn/~wangchao/maa/Numerical_Optimization.pdf	textbooks	numerical-analysis	algorithms	optimization											
Learning representations by back-propagating errors	http://www.cs.toronto.edu/~hinton/absps/naturebp.pdf	papers	neural-networks	machine-learning												
Reinforcement Learning: An Introduction	http://incompleteideas.net/book/the-book-2nd.html	textbooks	reinforcement-learning													
Clean Code	https://www.investigatii.md/uploads/resurse/Clean_Code.pdf	textbooks	computer-programming	software-engineering												
Code Complete	http://aroma.vn/web/wp-content/uploads/2016/11/code-complete-2nd-edition-v413hav.pdf	textbooks	computer-programming	software-engineering												
Design Patterns: Elements of Reusable Object-Oriented Software	https://sophia.javeriana.edu.co/~cbustaca/docencia/DSBP-2018-01/recursos/Erich%20Gamma,%20Richard%20Helm,%20Ralph%20Johnson,%20John%20M.%20Vlissides-Design%20Patterns_%20Elements%20of%20Reusable%20Object-Oriented%20Software%20%20-Addison-Wesley%20Professional%20(1994).pdf	textbooks	computer-programming	software-engineering	design-patterns											
New Directions in Cryptography	https://ee.stanford.edu/~hellman/publications/24.pdf	papers	cryptography	computer-security												
A Method for Obtaining Digital Signatures and Public-Key Cryptosystems	https://people.csail.mit.edu/rivest/Rsapaper.pdf	papers	cryptography	computer-security												
Learning to Predict by the Methods of Temporal Differences	https://pdfs.semanticscholar.org/9c06/865e912788a6a51470724e087853d7269195.pdf	papers	reinforcement-learning													
Deep Learning	http://www.deeplearningbook.org/	textbooks	machine-learning	deep-learning	neural-networks											
Mathematical Logic for Computer Science	http://www.win.tue.nl/~keesh/ow/2if85/Ben-Ari3rd.pdf	textbooks	computer-science	logic	mathematics											
Artificial Intelligence: A Modern Approach	http://aima.cs.berkeley.edu/	textbooks	artificial-intelligence													
Information Theory, Inference, and Learning Algorithms	http://www.inference.org.uk/itprnn/book.pdf	textbooks	information-theory	mathematics												
Pattern Recognition and Machine Learning	http://users.isr.ist.utl.pt/~wurmd/Livros/school/Bishop%20-%20Pattern%20Recognition%20And%20Machine%20Learning%20-%20Springer%20%202006.pdf	textbooks	machine-learning													
Machine Learning A Probabilistic Perspective	https://doc.lagout.org/science/Artificial%20Intelligence/Machine%20learning/Machine%20Learning_%20A%20Probabilistic%20Perspective%20%5BMurphy%202012-08-24%5D.pdf	textbooks	machine-learning													
Deep Reinforcement Learning Doesn't Work Yet	https://www.alexirpan.com/2018/02/14/rl-hard.html	blogs	reinforcement-learning	deep-learning												
Reinforcement Learning never worked, and 'deep' only helped a bit.	https://himanshusahni.github.io/2018/02/23/reinforcement-learning-never-worked.html	blogs	reinforcement-learning	deep-learning												
Karpathy's blog	https://karpathy.github.io/	blogs	artificial-intelligence	machine-learning	reinforcement-learning	deep-learning	natural-language-processing									
Denny Britz's blog	http://blog.dennybritz.com/	blogs	artificial-intelligence	machine-learning	reinforcement-learning	deep-learning										
WildML	http://www.wildml.com/author/dennybritz/	blogs	artificial-intelligence	machine-learning	reinforcement-learning	deep-learning										
Approximation Algorithms	https://doc.lagout.org/science/0_Computer%20Science/2_Algorithms/Approximation%20Algorithms%20%5BVazirani%202010-12-01%5D.pdf	textbooks	algorithms	computer-science												
Algorithm Design	http://www.cs.sjtu.edu.cn/~jiangli/teaching/CS222/files/materials/Algorithm%20Design.pdf	textbooks	algorithms	computer-science												
The Design of Approximation Algorithms	http://www.designofapproxalgs.com/book.pdf	textbooks	algorithms	computer-science												
The Element of Computing Systems	http://f.javier.io/rep/books/The%20Elements%20of%20Computing%20Systems.pdf	textbooks	computer-programming	software-engineering	computer-architecture											
Structure and Interpretation of Computer Programs	http://mitpress.mit.edu/sites/default/files/sicp/index.html	textbooks	computer-programming	computer-science												
Concepts of Programming Languages	https://cs444pnu1.files.wordpress.com/2014/02/concepts-of-programming-languages-10th-sebesta.pdf	textbooks	computer-programming	computer-science												
Mathematical Logic in Computer Science	https://arxiv.org/pdf/1802.03292.pdf	papers	logic	computer-science												
Computer Architecture: A Quantitative Approach	https://aaddiii.files.wordpress.com/2016/02/computer-architecture-patterson-5th-edition.pdf	textbooks	computer-programming	computer-architecture												
Type Theory and Formal Proof - An Introduction	https://www.win.tue.nl/~wsinrpn/book_type_theory.htm	textbooks	mathematics	logic	type-theory											
Computational Complexity: A Modern Approach	http://theory.cs.princeton.edu/complexity/book.pdf	textbooks	computer-science													
The Unreasonable Effectiveness of Mathematics in the Natural Sciences	https://www.dartmouth.edu/~matc/MathDrama/reading/Wigner.html	readings	mathematics													
On the Unusual Effectiveness of Logic in Computer Science	https://www.cs.cmu.edu/~rwh/papers/unreasonable/basl.pdf	papers	logic	computer-science												
An Empirical Evaluation of Supervised Learning in High Dimensions	http://lowrank.net/nikos/pubs/empirical.pdf	papers	machine-learning	comparison												
The Unreasonable Effectiveness of Mathematics	https://web.njit.edu/~akansu/PAPERS/The%20Unreasonable%20Effectiveness%20of%20Mathematics%20(RW%20Hamming).pdf	papers	mathematics													
The Unreasonable Effectiveness of Mathematics in Economics	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.122.4381&rep=rep1&type=pdf	papers	economics	mathematics												
Computability and Complexity	https://www.cs.cornell.edu/home/kleinber/cstb-turing.pdf	textbooks	mathematics	computer-science												
Computational Complexity: A Conceptual Perspective	http://www.wisdom.weizmann.ac.il/~oded/cc-book.html	textbooks	mathematics	computer-science												
On Computable number, with an application to the Entscheidungsproblem	https://www.cs.virginia.edu/~robins/Turing_Paper_1936.pdf	papers	mathematics	logic	computer-science	turing	undecidability									
On Formally Undecidable Propositions of Principia Mathematica and Related Systems	https://monoskop.org/images/9/93/Kurt_G%C3%B6del_On_Formally_Undecidable_Propositions_of_Principia_Mathematica_and_Related_Systems_1992.pdf	papers	logic	mathematics												
Policy invariance under reward transformations: Theory and application to Reward Shaping	https://people.eecs.berkeley.edu/~pabbeel/cs287-fa09/readings/NgHaradaRussell-shaping-ICML1999.pdf	papers	reinforcement-learning	reward-shaping												
Practical Byzantine Fault Tolerance	http://pmg.csail.mit.edu/papers/osdi99.pdf	papers	distributed-systems	algorithms	computer-science											
Impossibility of Distributed Consensus with One Faulty Process	https://groups.csail.mit.edu/tds/papers/Lynch/jacm85.pdf	papers	distributed-systems	computer-science												
Bitcoin: A Peer-to-Peer Electronic Cash System	https://bitcoin.org/bitcoin.pdf	papers	distributed-systems	blockchain	cryptocurrency											
An Axiomatic Basis for Computer Programming	https://www.cs.cmu.edu/~crary/819-f09/Hoare69.pdf	papers	computer-science	computer-programming	logic											
Brewer's conjecture and the feasibility of consistent, available, partition-tolerant web services	https://users.ece.cmu.edu/~adrian/731-sp04/readings/GL-cap.pdf	papers	distributed-systems	computer-science												
CAP Twelve Years Later: How the Rules Have Changed	https://www.infoq.com/articles/cap-twelve-years-later-how-the-rules-have-changed	readings	distributed-systems													
